Modèle,Données train,Accuracy,F2-score,ROC-AUC
A - Supervisé pur,80 images (labels forts),0.9,0.8974,0.99
B - Semi-sup. DBSCAN,1486 images (DBSCAN weak labels),0.9,0.8974,0.86
C - Semi-sup. DBSCAN+aug,~2206 images (DBSCAN + augmentées),0.9,0.8974,0.95
